time,btc,eth,ltc
2017-05-28 01:14:02,14489.99,1206.07,151.0
2017-05-28 01:15:02,14478.0,1213.99,153.0
2017-05-28 01:17:01,14478.0,1205.02,153.28
2017-05-28 01:18:01,14489.0,1205.0,153.0
2017-05-28 01:19:02,14500.01,1213.97,153.35
2017-05-28 01:20:01,14600.0,1215.0,155.0
2017-05-28 01:21:02,14510.0,1218.8,156.99
2017-05-28 01:22:02,14550.0,1215.51,155.08
2017-05-28 01:23:02,14550.0,1219.59,154.5
2017-05-28 01:24:01,14550.0,1207.13,154.5
2017-05-28 01:25:01,14510.0,1216.99,154.5
2017-05-28 01:26:02,14500.0,1208.79,155.4
2017-05-28 01:27:01,14500.0,1205.03,155.4
2017-05-28 01:28:02,14511.0,1208.0,155.4
2017-05-28 01:29:02,14500.0,1208.0,153.5
2017-05-28 01:30:02,14500.0,1208.44,153.0
2017-05-28 01:31:01,14500.0,1208.45,153.0
2017-05-28 01:32:01,14500.0,1208.4,154.9
2017-05-28 01:33:01,14500.0,1205.04,155.0
2017-05-28 01:34:02,14500.0,1205.04,154.0
2017-05-28 01:35:02,14500.0,1205.0,154.0
2017-05-28 01:36:02,14500.0,1205.0,154.0
2017-05-28 01:37:02,14500.0,1200.0,154.0
2017-05-28 01:38:02,14479.0,1193.1,153.3
2017-05-28 01:39:02,14500.0,1191.05,153.8
2017-05-28 01:40:02,14500.0,1194.0,153.99
2017-05-28 01:41:02,14485.0,1194.0,154.0
2017-05-28 01:42:01,14485.0,1194.01,153.2
2017-05-28 01:43:01,14470.0,1194.01,153.21
2017-05-28 01:44:02,14470.0,1200.0,153.21
2017-05-28 01:45:01,14471.0,1200.0,154.0
2017-05-28 01:46:02,14470.0,1204.98,154.8
2017-05-28 01:47:02,14449.0,1201.37,154.01
2017-05-28 01:48:01,14449.0,1201.37,154.7
2017-05-28 01:49:02,14500.0,1204.99,154.7
2017-05-28 01:50:02,14540.0,1204.95,155.0
2017-05-28 01:51:01,14449.0,1204.95,155.7
2017-05-28 01:52:01,14540.0,1205.0,156.75
2017-05-28 01:53:02,14550.0,1208.56,156.88
2017-05-28 01:54:02,14550.0,1208.56,156.88
2017-05-28 01:55:01,14355.0,1203.01,156.89
2017-05-28 01:56:02,14550.0,1203.11,156.88
2017-05-28 01:57:02,14550.0,1203.14,155.7
2017-05-28 01:58:01,14550.0,1210.01,155.7
2017-05-28 01:59:02,14550.0,1208.5,155.7
2017-05-28 02:00:01,14550.0,1206.0,155.7
2017-05-28 02:01:02,14550.0,1206.0,155.7
2017-05-28 02:02:01,14360.0,1205.99,155.7
2017-05-28 02:03:02,14360.0,1205.99,156.7
2017-05-28 02:04:02,14411.2,1205.99,155.7
2017-05-28 02:05:01,14520.0,1205.99,155.7
2017-05-28 02:06:01,14412.3,1204.0,156.5
2017-05-28 02:07:02,14416.0,1204.0,157.97
2017-05-28 02:08:02,14430.0,1204.0,158.0
2017-05-28 02:09:01,14431.0,1209.93,159.49
2017-05-28 02:10:02,14519.0,1204.0,160.0
2017-05-28 02:11:02,14480.1,1203.17,161.02
2017-05-28 02:12:01,14520.0,1205.0,161.03
2017-05-28 02:13:02,14520.0,1205.0,160.0
2017-05-28 02:14:01,14595.0,1205.0,158.8
2017-05-28 02:15:01,14595.0,1203.17,158.05
2017-05-28 02:16:02,14620.0,1206.0,158.1
2017-05-28 02:17:01,14648.0,1206.0,159.86
2017-05-28 02:18:01,14620.0,1210.0,158.22
2017-05-28 02:19:01,14620.0,1218.99,158.22
2017-05-28 02:20:02,14551.0,1215.09,158.22
2017-05-28 02:21:01,14551.0,1215.0,158.22
2017-05-28 02:22:02,14620.0,1218.2,158.22
2017-05-28 02:23:01,14620.0,1218.2,159.0
2017-05-28 02:24:01,14697.0,1218.9,158.99
2017-05-28 02:25:01,14620.0,1219.41,157.01
2017-05-28 02:26:02,14620.0,1219.51,158.99
2017-05-28 02:27:01,14620.0,1220.8,156.5
2017-05-28 02:29:02,14620.0,1227.16,158.0
2017-05-28 02:30:02,14620.0,1230.0,158.0
2017-05-28 02:31:02,14620.0,1232.0,157.98
2017-05-28 02:32:02,14620.1,1232.03,156.01
2017-05-28 02:33:01,14620.1,1237.45,157.88
2017-05-28 02:34:01,14620.1,1233.08,156.06
2017-05-28 02:35:02,14500.0,1233.07,156.0
2017-05-28 02:36:02,14450.0,1227.91,156.89
2017-05-28 02:37:01,14450.0,1233.06,156.9
2017-05-28 02:38:02,14450.0,1233.06,156.9
2017-05-28 02:39:02,14450.0,1233.06,158.0
2017-05-28 02:40:02,14501.0,1233.06,158.0
2017-05-28 02:41:01,14501.0,1232.97,157.99
2017-05-28 02:42:01,14501.0,1223.97,157.0
2017-05-28 02:43:02,14501.0,1223.97,157.9
2017-05-28 02:44:02,14501.0,1237.0,156.9
2017-05-28 02:45:01,14501.0,1237.0,156.9
2017-05-28 02:46:01,14501.0,1233.06,157.9
2017-05-28 02:47:02,14501.0,1233.06,157.9
2017-05-28 02:48:02,14501.0,1233.06,157.5
2017-05-28 02:49:02,14450.0,1224.99,157.88
2017-05-28 02:50:02,14450.0,1220.9,157.88
2017-05-28 02:51:02,14501.0,1220.0,157.88
2017-05-28 02:52:01,14501.0,1219.4,158.0
2017-05-28 02:53:01,14501.0,1219.12,158.0
2017-05-28 02:54:02,14450.0,1209.16,157.88
2017-05-28 02:55:02,14450.0,1209.22,157.88
2017-05-28 02:56:02,14450.0,1210.0,157.89
2017-05-28 02:57:01,14450.0,1220.0,158.0
2017-05-28 02:58:01,14450.0,1230.99,158.93
2017-05-28 02:59:02,14450.0,1230.99,158.0
2017-05-28 03:00:02,14450.0,1220.0,158.0
2017-05-28 03:01:02,14450.0,1228.95,158.0
2017-05-28 03:02:02,14649.0,1230.97,158.0
2017-05-28 03:03:01,14649.0,1230.97,157.89
2017-05-28 03:04:01,14697.0,1230.97,156.96
2017-05-28 03:05:01,14697.0,1230.97,156.96
2017-05-28 03:06:02,14697.0,1230.97,157.0
2017-05-28 03:07:01,14697.0,1230.97,156.96
2017-05-28 03:08:01,14697.0,1227.7,156.96
2017-05-28 03:09:02,14697.0,1227.0,158.0
2017-05-28 03:10:01,14697.0,1220.0,158.0
2017-05-28 03:11:01,14697.0,1227.0,158.0
2017-05-28 03:12:02,14697.0,1227.0,158.0
2017-05-28 03:13:02,14697.0,1230.0,158.49
2017-05-28 03:14:01,14697.0,1228.99,158.49
2017-05-28 03:15:01,14370.0,1228.98,158.01
2017-05-28 03:16:02,14690.0,1223.45,158.01
2017-05-28 03:17:02,14690.0,1223.45,158.0
2017-05-28 03:18:02,14371.0,1223.45,157.1
2017-05-28 03:19:01,14371.0,1228.89,157.4
2017-05-28 03:20:01,14371.0,1228.89,157.7
2017-05-28 03:21:02,14371.0,1224.51,158.0
2017-05-28 03:22:02,14371.0,1228.89,157.7
2017-05-28 03:23:01,14371.0,1228.89,157.7
2017-05-28 03:24:02,14371.0,1228.89,157.72
2017-05-28 03:25:01,14371.0,1228.89,157.72
2017-05-28 03:26:01,14371.0,1228.89,157.03
2017-05-28 03:27:02,14371.0,1228.89,157.03
2017-05-28 03:28:02,14371.01,1231.9,157.1
2017-05-28 03:29:02,14600.1,1231.9,157.1
2017-05-28 03:30:01,14600.1,1227.0,157.98
2017-05-28 03:31:02,14600.1,1232.59,157.98
2017-05-28 03:32:02,14600.1,1232.59,157.98
2017-05-28 03:33:02,14600.1,1232.59,157.98
2017-05-28 03:34:01,14600.1,1227.03,157.21
2017-05-28 03:35:01,14600.1,1227.03,158.0
2017-05-28 03:36:01,14600.1,1227.03,158.21
2017-05-28 03:37:01,14600.1,1227.03,158.0
2017-05-28 03:38:01,14600.1,1227.03,158.45
2017-05-28 03:39:02,14600.1,1227.03,158.45
2017-05-28 03:40:01,14600.1,1226.99,158.8
2017-05-28 03:41:02,14549.0,1227.0,159.0
2017-05-28 03:42:02,14549.0,1227.0,159.0
2017-05-28 03:43:01,14575.0,1227.0,158.5
2017-05-28 03:44:02,14575.0,1227.0,158.5
2017-05-28 03:45:02,14575.0,1227.0,158.0
2017-05-28 03:46:02,14575.0,1229.0,157.5
2017-05-28 03:47:01,14500.0,1229.01,157.5
2017-05-28 03:48:02,14500.0,1232.59,158.0
2017-05-28 03:49:02,14500.0,1232.59,158.0
2017-05-28 03:50:02,14500.0,1232.59,158.0
2017-05-28 03:51:01,14500.0,1232.59,158.0
2017-05-28 03:52:01,14575.0,1232.59,158.0
2017-05-28 03:53:01,14575.0,1232.59,158.0
2017-05-28 03:54:01,14575.0,1232.59,158.0
2017-05-28 03:55:01,14575.1,1232.59,160.0
2017-05-28 03:56:01,14575.1,1232.59,159.89
2017-05-28 03:57:02,14575.1,1232.59,160.97
2017-05-28 03:58:01,14580.0,1232.59,161.0
2017-05-28 03:59:01,14650.0,1232.59,161.67
2017-05-28 04:00:02,14650.0,1232.59,161.49
2017-05-28 04:01:01,14600.1,1232.6,161.47
2017-05-28 04:02:01,14600.1,1232.6,161.47
2017-05-28 04:03:01,14600.1,1232.6,161.4
2017-05-28 04:04:02,14600.1,1232.65,160.49
2017-05-28 04:05:02,14600.1,1232.65,159.0
2017-05-28 04:06:01,14600.1,1234.0,160.48
2017-05-28 04:07:02,14600.1,1235.0,160.98
2017-05-28 04:08:01,14600.1,1234.59,160.99
2017-05-28 04:09:01,14600.1,1234.59,160.99
2017-05-28 04:10:02,14650.0,1240.0,160.99
2017-05-28 04:11:02,14650.0,1240.0,159.2
2017-05-28 04:12:01,14650.0,1244.99,159.01
2017-05-28 04:13:01,14650.0,1245.0,159.01
2017-05-28 04:14:02,14688.0,1245.0,159.01
2017-05-28 04:15:02,14688.0,1244.99,159.01
2017-05-28 04:16:01,14688.0,1244.99,159.0
